Marka;Model;İşlemci;RAM;Depolama;Ekran Kartı;Fiyat
Apple;Air M4;Apple M4;16;512;Apple M4 GPU;59.999,00
Apple;Pro M4 Pro;Apple M4 Pro;24;512;Apple M4 Pro GPU;99.999,00
Huawei;MateBook D16;Intel Core i5-12450H;8;512;Intel UHD;21.999,00
Huawei;MateBook D14;Intel Core i5-12450H;16;512;Intel UHD;29.449,05
Huawei;MateBook D14;Intel Core i5-12450H;8;512;Intel UHD;23.699,00
Huawei;MateBook 14;Intel Core Ultra 5 125H;16;512;Entegre;45.999,00
Huawei;MateBook D16;Intel Core i5-12450H;16;512;Intel UHD;39.499,00
Huawei;MateBook 14;Intel Core Ultra 5 125H;16;512;Entegre;45.999,00
Huawei;MateBook D14;Intel Core i5-13420H;16;512;Intel UHD;59.998,00
Huawei;Matebook D15;Intel Core i5-10210U;8;256;Intel UHD;25.775,58
Huawei;Matebook 14;Intel Core Ultra 5 125H;16;512;Entegre;67.999,00
Huawei;Matebook 16S;Intel Core İ9-13900H;16;1024;Intel Iris Xe;48.450,00
Huawei;Matebook D16;Intel Core İ5-12450H;8;512;Entegre;31.349,05
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.371,00
Huawei;MateBook D16;Intel Core i5-12450H;8;512;Intel UHD;21.999,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.299,00
Lenovo;-;Intel Core i5-13420H;16;512;Intel UHD;22.799,05
Apple;Pro M4 Pro;Apple M4 Pro;24;512;Apple M4 Pro GPU;95.999,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.170,00
Asus;Vivobook Go 15 E1504FA-BQ1741;AMD Ryzen 5 7520U;8;512;AMD Radeon 610M;16.889,06
Lenovo;-;Intel N100;4;128;Intel UHD;9.149,00
Apple;Air M4;Apple M4;16;512;Apple M4 GPU;59.999,00
Lenovo;-;AMD Ryzen 5 5625U;16;512;AMD Radeon;19.489,00
Asus;Zenbook 14 UX3405CA-QL286W Ultra 7 255H 16 GB 512 ;Intel Core Ultra 7 255H;16;512;Intel Arc 140T;47.799,00
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;22.840,69
Lenovo;IdeaPad Slim 3 16IRH10 83K2001FTR i5-13420H 16 GB ;Intel Core i5-13420H;16;512;Intel UHD;24.499,00
Apple;Air M2;Apple M2;16;256;Apple M2 GPU;36.999,00
Huawei;MateBook D14;Intel Core i5-12450H;16;512;Intel UHD;29.449,05
Lenovo;Ideapad Slim 3 16IRH10 83K2001VTR i7-13620H 16 GB ;Intel Core i7-13620H;16;1024;Intel UHD;39.845,95
Casper;Nirvana S100.1362-BF00X-G-F;Intel Core i7-13620H;16;1024;Intel UHD;25.999,00
Lenovo;-;Intel Core i7-13620H;16;512;Intel UHD;29.005,50
Dell;Vostro 3530;Intel Core i5-1334U;16;512;Intel Iris Xe;22.711,66
Apple;Air M2;Apple M2;16;256;Apple M2 GPU;36.566,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;47.520,00
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;24.902,84
Asus;Vivobook S16 S3607VA-RP012 i7-13620H 16 GB 1 TB SS;Intel Core i7-13620H;16;1024;Intel UHD;37.049,03
Apple;Pro M4;Apple M4;16;512;Apple M4 GPU;74.999,00
Lenovo;ThinkBook 16P G5 IRX 21N50024TR i9-14900HX 32 GB 1;Intel Core i9-14900HX;32;1024;NVIDIA RTX4060;85.599,00
Apple;Pro M4 Pro;Apple M4 Pro;24;512;Apple M4 Pro GPU;123.490,00
Lenovo;-;Intel N100;4;128;Intel UHD;9.399,00
Lenovo;-;AMD Ryzen 3 7320U;8;512;AMD Radeon 610M;17.099,05
Huawei;MateBook D14;Intel Core i5-12450H;8;512;Intel UHD;23.699,00
Asus;Vivobook 16 V3607VU-RP285W;Intel Core 5 210H;8;512;NVIDIA RTX4050;40.999,00
Lenovo;ThinkBook 14 G7 ARP 21MV001ATR Ryzen 5 7535HS 16 G;AMD Ryzen 5 7535HS;16;512;AMD Radeon 660M;28.471,58
Huawei;MateBook D16;Intel Core i5-12450H;8;512;Intel UHD;21.999,00
Huawei;MateBook D14;Intel Core i5-12450H;16;512;Intel UHD;29.449,05
Huawei;MateBook D14;Intel Core i5-12450H;8;512;Intel UHD;23.699,00
Huawei;MateBook 14;Intel Core Ultra 5 125H;16;512;Entegre;45.999,00
Huawei;MateBook D16;Intel Core i5-12450H;16;512;Intel UHD;39.499,00
Huawei;MateBook 14;Intel Core Ultra 5 125H;16;512;Entegre;45.999,00
Huawei;MateBook D14;Intel Core i5-13420H;16;512;Intel UHD;59.998,00
Huawei;Matebook D15;Intel Core i5-10210U;8;256;Intel UHD;25.775,58
Huawei;Matebook 14;Intel Core Ultra 5 125H;16;512;Entegre;67.999,00
Huawei;Matebook 16S;Intel Core İ9-13900H;16;1024;Intel Iris Xe;48.450,00
Huawei;Matebook D16;Intel Core İ5-12450H;8;512;Entegre;31.349,05
Huawei;MateBook D16;Intel Core i5-12450H;8;512;Intel UHD;21.999,00
Huawei;MateBook D14;Intel Core i5-12450H;16;512;Intel UHD;29.449,05
Huawei;MateBook D14;Intel Core i5-12450H;8;512;Intel UHD;23.699,00
Huawei;MateBook 14;Intel Core Ultra 5 125H;16;512;Entegre;45.999,00
Huawei;MateBook D16;Intel Core i5-12450H;16;512;Intel UHD;39.499,00
Huawei;MateBook 14;Intel Core Ultra 5 125H;16;512;Entegre;45.999,00
Huawei;MateBook D14;Intel Core i5-13420H;16;512;Intel UHD;59.998,00
Huawei;Matebook D15;Intel Core i5-10210U;8;256;Intel UHD;25.775,58
Huawei;Matebook 14;Intel Core Ultra 5 125H;16;512;Entegre;67.999,00
Huawei;Matebook 16S;Intel Core İ9-13900H;16;1024;Intel Iris Xe;48.450,00
Huawei;Matebook D16;Intel Core İ5-12450H;8;512;Entegre;31.349,05
Huawei;MateBook D16;Intel Core i5-12450H;8;512;Intel UHD;21.999,00
Huawei;MateBook D14;Intel Core i5-12450H;16;512;Intel UHD;29.449,05
Huawei;MateBook D14;Intel Core i5-12450H;8;512;Intel UHD;23.699,00
Huawei;MateBook 14;Intel Core Ultra 5 125H;16;512;Entegre;45.999,00
Huawei;MateBook D16;Intel Core i5-12450H;16;512;Intel UHD;39.499,00
Huawei;MateBook 14;Intel Core Ultra 5 125H;16;512;Entegre;45.999,00
Huawei;MateBook D14;Intel Core i5-13420H;16;512;Intel UHD;59.998,00
Huawei;Matebook D15;Intel Core i5-10210U;8;256;Intel UHD;25.775,58
Huawei;Matebook 14;Intel Core Ultra 5 125H;16;512;Entegre;67.999,00
Huawei;Matebook 16S;Intel Core İ9-13900H;16;1024;Intel Iris Xe;48.450,00
Huawei;Matebook D16;Intel Core İ5-12450H;8;512;Entegre;31.349,05
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;46.974,00
Huawei;MateBook D16;Intel Core i5-12450H;8;512;Intel UHD;21.999,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.299,00
Lenovo;-;Intel Core i5-13420H;16;512;Intel UHD;22.799,05
Apple;Pro M4 Pro;Apple M4 Pro;24;512;Apple M4 Pro GPU;95.999,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.170,00
Asus;Vivobook Go 15 E1504FA-BQ1741;AMD Ryzen 5 7520U;8;512;AMD Radeon 610M;16.889,06
Lenovo;-;Intel N100;4;128;Intel UHD;9.149,00
Apple;Air M4;Apple M4;16;512;Apple M4 GPU;59.999,00
Lenovo;-;AMD Ryzen 5 5625U;16;512;AMD Radeon;19.489,00
Asus;Zenbook 14 UX3405CA-QL286W Ultra 7 255H 16 GB 512 ;Intel Core Ultra 7 255H;16;512;Intel Arc 140T;47.799,00
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;22.840,69
Lenovo;IdeaPad Slim 3 16IRH10 83K2001FTR i5-13420H 16 GB ;Intel Core i5-13420H;16;512;Intel UHD;24.499,00
Apple;Air M2;Apple M2;16;256;Apple M2 GPU;36.999,00
Huawei;MateBook D14;Intel Core i5-12450H;16;512;Intel UHD;29.449,05
Lenovo;Ideapad Slim 3 16IRH10 83K2001VTR i7-13620H 16 GB ;Intel Core i7-13620H;16;1024;Intel UHD;39.845,95
Casper;Nirvana S100.1362-BF00X-G-F;Intel Core i7-13620H;16;1024;Intel UHD;25.999,00
Lenovo;-;Intel Core i7-13620H;16;512;Intel UHD;29.005,50
Dell;Vostro 3530;Intel Core i5-1334U;16;512;Intel Iris Xe;22.711,66
Apple;Air M2;Apple M2;16;256;Apple M2 GPU;36.566,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;47.520,00
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;24.902,84
Asus;Vivobook S16 S3607VA-RP012 i7-13620H 16 GB 1 TB SS;Intel Core i7-13620H;16;1024;Intel UHD;37.049,03
Apple;Pro M4;Apple M4;16;512;Apple M4 GPU;74.999,00
Lenovo;ThinkBook 16P G5 IRX 21N50024TR i9-14900HX 32 GB 1;Intel Core i9-14900HX;32;1024;NVIDIA RTX4060;85.599,00
Apple;Pro M4 Pro;Apple M4 Pro;24;512;Apple M4 Pro GPU;123.490,00
Lenovo;-;Intel N100;4;128;Intel UHD;9.399,00
Lenovo;-;AMD Ryzen 3 7320U;8;512;AMD Radeon 610M;17.099,05
Huawei;MateBook D14;Intel Core i5-12450H;8;512;Intel UHD;23.699,00
Asus;Vivobook 16 V3607VU-RP285W;Intel Core 5 210H;8;512;NVIDIA RTX4050;40.999,00
Lenovo;ThinkBook 14 G7 ARP 21MV001ATR Ryzen 5 7535HS 16 G;AMD Ryzen 5 7535HS;16;512;AMD Radeon 660M;28.471,58
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;46.974,00
Huawei;MateBook D16;Intel Core i5-12450H;8;512;Intel UHD;21.999,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.299,00
Lenovo;-;Intel Core i5-13420H;16;512;Intel UHD;22.799,05
Apple;Pro M4 Pro;Apple M4 Pro;24;512;Apple M4 Pro GPU;95.999,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.170,00
Asus;Vivobook Go 15 E1504FA-BQ1741;AMD Ryzen 5 7520U;8;512;AMD Radeon 610M;16.889,06
Lenovo;-;Intel N100;4;128;Intel UHD;9.149,00
Apple;Air M4;Apple M4;16;512;Apple M4 GPU;59.999,00
Lenovo;-;AMD Ryzen 5 5625U;16;512;AMD Radeon;19.489,00
Asus;Zenbook 14 UX3405CA-QL286W Ultra 7 255H 16 GB 512 ;Intel Core Ultra 7 255H;16;512;Intel Arc 140T;47.799,00
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;22.840,69
Lenovo;IdeaPad Slim 3 16IRH10 83K2001FTR i5-13420H 16 GB ;Intel Core i5-13420H;16;512;Intel UHD;24.499,00
Apple;Air M2;Apple M2;16;256;Apple M2 GPU;36.999,00
Huawei;MateBook D14;Intel Core i5-12450H;16;512;Intel UHD;29.449,05
Lenovo;Ideapad Slim 3 16IRH10 83K2001VTR i7-13620H 16 GB ;Intel Core i7-13620H;16;1024;Intel UHD;39.845,95
Casper;Nirvana S100.1362-BF00X-G-F;Intel Core i7-13620H;16;1024;Intel UHD;25.999,00
Lenovo;-;Intel Core i7-13620H;16;512;Intel UHD;29.005,50
Dell;Vostro 3530;Intel Core i5-1334U;16;512;Intel Iris Xe;22.711,66
Apple;Air M2;Apple M2;16;256;Apple M2 GPU;36.566,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;47.520,00
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;24.902,84
Asus;Vivobook S16 S3607VA-RP012 i7-13620H 16 GB 1 TB SS;Intel Core i7-13620H;16;1024;Intel UHD;37.049,03
Apple;Pro M4;Apple M4;16;512;Apple M4 GPU;74.999,00
Lenovo;ThinkBook 16P G5 IRX 21N50024TR i9-14900HX 32 GB 1;Intel Core i9-14900HX;32;1024;NVIDIA RTX4060;85.599,00
Apple;Pro M4 Pro;Apple M4 Pro;24;512;Apple M4 Pro GPU;123.490,00
Lenovo;-;Intel N100;4;128;Intel UHD;9.399,00
Lenovo;-;AMD Ryzen 3 7320U;8;512;AMD Radeon 610M;17.099,05
Huawei;MateBook D14;Intel Core i5-12450H;8;512;Intel UHD;23.699,00
Asus;Vivobook 16 V3607VU-RP285W;Intel Core 5 210H;8;512;NVIDIA RTX4050;40.999,00
Lenovo;ThinkBook 14 G7 ARP 21MV001ATR Ryzen 5 7535HS 16 G;AMD Ryzen 5 7535HS;16;512;AMD Radeon 660M;28.471,58
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;46.974,00
Huawei;MateBook D16;Intel Core i5-12450H;8;512;Intel UHD;21.999,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.299,00
Lenovo;-;Intel Core i5-13420H;16;512;Intel UHD;22.799,05
Apple;Pro M4 Pro;Apple M4 Pro;24;512;Apple M4 Pro GPU;95.999,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.170,00
Asus;Vivobook Go 15 E1504FA-BQ1741;AMD Ryzen 5 7520U;8;512;AMD Radeon 610M;16.889,06
Lenovo;-;Intel N100;4;128;Intel UHD;9.149,00
Apple;Air M4;Apple M4;16;512;Apple M4 GPU;59.999,00
Lenovo;-;AMD Ryzen 5 5625U;16;512;AMD Radeon;19.489,00
Asus;Zenbook 14 UX3405CA-QL286W Ultra 7 255H 16 GB 512 ;Intel Core Ultra 7 255H;16;512;Intel Arc 140T;47.799,00
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;22.840,69
Lenovo;IdeaPad Slim 3 16IRH10 83K2001FTR i5-13420H 16 GB ;Intel Core i5-13420H;16;512;Intel UHD;24.499,00
Apple;Air M2;Apple M2;16;256;Apple M2 GPU;36.999,00
Huawei;MateBook D14;Intel Core i5-12450H;16;512;Intel UHD;29.449,05
Lenovo;Ideapad Slim 3 16IRH10 83K2001VTR i7-13620H 16 GB ;Intel Core i7-13620H;16;1024;Intel UHD;39.845,95
Casper;Nirvana S100.1362-BF00X-G-F;Intel Core i7-13620H;16;1024;Intel UHD;25.999,00
Lenovo;-;Intel Core i7-13620H;16;512;Intel UHD;29.005,50
Dell;Vostro 3530;Intel Core i5-1334U;16;512;Intel Iris Xe;22.711,66
Apple;Air M2;Apple M2;16;256;Apple M2 GPU;36.566,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;47.520,00
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;24.902,84
Asus;Vivobook S16 S3607VA-RP012 i7-13620H 16 GB 1 TB SS;Intel Core i7-13620H;16;1024;Intel UHD;37.049,03
Apple;Pro M4;Apple M4;16;512;Apple M4 GPU;74.999,00
Lenovo;ThinkBook 16P G5 IRX 21N50024TR i9-14900HX 32 GB 1;Intel Core i9-14900HX;32;1024;NVIDIA RTX4060;85.599,00
Apple;Pro M4 Pro;Apple M4 Pro;24;512;Apple M4 Pro GPU;123.490,00
Lenovo;-;Intel N100;4;128;Intel UHD;9.399,00
Lenovo;-;AMD Ryzen 3 7320U;8;512;AMD Radeon 610M;17.099,05
Huawei;MateBook D14;Intel Core i5-12450H;8;512;Intel UHD;23.699,00
Asus;Vivobook 16 V3607VU-RP285W;Intel Core 5 210H;8;512;NVIDIA RTX4050;40.999,00
Lenovo;ThinkBook 14 G7 ARP 21MV001ATR Ryzen 5 7535HS 16 G;AMD Ryzen 5 7535HS;16;512;AMD Radeon 660M;28.471,58
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;46.974,00
Huawei;MateBook D16;Intel Core i5-12450H;8;512;Intel UHD;21.999,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.299,00
Lenovo;-;Intel Core i5-13420H;16;512;Intel UHD;22.799,05
Apple;Pro M4 Pro;Apple M4 Pro;24;512;Apple M4 Pro GPU;95.999,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.170,00
Asus;Vivobook Go 15 E1504FA-BQ1741;AMD Ryzen 5 7520U;8;512;AMD Radeon 610M;16.889,06
Lenovo;-;Intel N100;4;128;Intel UHD;9.149,00
Apple;Air M4;Apple M4;16;512;Apple M4 GPU;59.999,00
Lenovo;-;AMD Ryzen 5 5625U;16;512;AMD Radeon;19.489,00
Asus;Zenbook 14 UX3405CA-QL286W Ultra 7 255H 16 GB 512 ;Intel Core Ultra 7 255H;16;512;Intel Arc 140T;47.799,00
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;22.840,69
Lenovo;IdeaPad Slim 3 16IRH10 83K2001FTR i5-13420H 16 GB ;Intel Core i5-13420H;16;512;Intel UHD;24.499,00
Apple;Air M2;Apple M2;16;256;Apple M2 GPU;36.999,00
Huawei;MateBook D14;Intel Core i5-12450H;16;512;Intel UHD;29.449,05
Lenovo;Ideapad Slim 3 16IRH10 83K2001VTR i7-13620H 16 GB ;Intel Core i7-13620H;16;1024;Intel UHD;39.845,95
Casper;Nirvana S100.1362-BF00X-G-F;Intel Core i7-13620H;16;1024;Intel UHD;25.999,00
Lenovo;-;Intel Core i7-13620H;16;512;Intel UHD;29.005,50
Dell;Vostro 3530;Intel Core i5-1334U;16;512;Intel Iris Xe;22.711,66
Apple;Air M2;Apple M2;16;256;Apple M2 GPU;36.566,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;47.520,00
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;24.902,84
Asus;Vivobook S16 S3607VA-RP012 i7-13620H 16 GB 1 TB SS;Intel Core i7-13620H;16;1024;Intel UHD;37.049,03
Apple;Pro M4;Apple M4;16;512;Apple M4 GPU;74.999,00
Lenovo;ThinkBook 16P G5 IRX 21N50024TR i9-14900HX 32 GB 1;Intel Core i9-14900HX;32;1024;NVIDIA RTX4060;85.599,00
Apple;Pro M4 Pro;Apple M4 Pro;24;512;Apple M4 Pro GPU;123.490,00
Lenovo;-;Intel N100;4;128;Intel UHD;9.399,00
Lenovo;-;AMD Ryzen 3 7320U;8;512;AMD Radeon 610M;17.099,05
Huawei;MateBook D14;Intel Core i5-12450H;8;512;Intel UHD;23.699,00
Asus;Vivobook 16 V3607VU-RP285W;Intel Core 5 210H;8;512;NVIDIA RTX4050;40.999,00
Lenovo;ThinkBook 14 G7 ARP 21MV001ATR Ryzen 5 7535HS 16 G;AMD Ryzen 5 7535HS;16;512;AMD Radeon 660M;28.471,58
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;46.974,00
Huawei;MateBook D16;Intel Core i5-12450H;8;512;Intel UHD;21.999,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.299,00
Lenovo;-;Intel Core i5-13420H;16;512;Intel UHD;22.799,05
Apple;Pro M4 Pro;Apple M4 Pro;24;512;Apple M4 Pro GPU;95.999,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.170,00
Asus;Vivobook Go 15 E1504FA-BQ1741;AMD Ryzen 5 7520U;8;512;AMD Radeon 610M;16.889,06
Lenovo;-;Intel N100;4;128;Intel UHD;9.149,00
Apple;Air M4;Apple M4;16;512;Apple M4 GPU;59.999,00
Lenovo;-;AMD Ryzen 5 5625U;16;512;AMD Radeon;19.489,00
Asus;Zenbook 14 UX3405CA-QL286W Ultra 7 255H 16 GB 512 ;Intel Core Ultra 7 255H;16;512;Intel Arc 140T;47.799,00
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;22.840,69
Lenovo;IdeaPad Slim 3 16IRH10 83K2001FTR i5-13420H 16 GB ;Intel Core i5-13420H;16;512;Intel UHD;24.499,00
Apple;Air M2;Apple M2;16;256;Apple M2 GPU;36.999,00
Huawei;MateBook D14;Intel Core i5-12450H;16;512;Intel UHD;29.449,05
Lenovo;Ideapad Slim 3 16IRH10 83K2001VTR i7-13620H 16 GB ;Intel Core i7-13620H;16;1024;Intel UHD;39.845,95
Casper;Nirvana S100.1362-BF00X-G-F;Intel Core i7-13620H;16;1024;Intel UHD;25.999,00
Lenovo;-;Intel Core i7-13620H;16;512;Intel UHD;29.005,50
Dell;Vostro 3530;Intel Core i5-1334U;16;512;Intel Iris Xe;22.711,66
Apple;Air M2;Apple M2;16;256;Apple M2 GPU;36.566,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;47.520,00
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;24.902,84
Asus;Vivobook S16 S3607VA-RP012 i7-13620H 16 GB 1 TB SS;Intel Core i7-13620H;16;1024;Intel UHD;37.049,03
Apple;Pro M4;Apple M4;16;512;Apple M4 GPU;74.999,00
Lenovo;ThinkBook 16P G5 IRX 21N50024TR i9-14900HX 32 GB 1;Intel Core i9-14900HX;32;1024;NVIDIA RTX4060;85.599,00
Apple;Pro M4 Pro;Apple M4 Pro;24;512;Apple M4 Pro GPU;123.490,00
Lenovo;-;Intel N100;4;128;Intel UHD;9.399,00
Lenovo;-;AMD Ryzen 3 7320U;8;512;AMD Radeon 610M;17.099,05
Huawei;MateBook D14;Intel Core i5-12450H;8;512;Intel UHD;23.699,00
Asus;Vivobook 16 V3607VU-RP285W;Intel Core 5 210H;8;512;NVIDIA RTX4050;40.999,00
Lenovo;ThinkBook 14 G7 ARP 21MV001ATR Ryzen 5 7535HS 16 G;AMD Ryzen 5 7535HS;16;512;AMD Radeon 660M;28.471,58
